L’approccio empirico per la comprensione del comportamento umano enfatizza; l'osservazione diretta e la
Quando un ricercatore costruisce una teoria psicologica basata sulla più semplice delle spiegazioni disponibili per un fenomeno, utilizza il principio scientifico; Della parsimonia
La definizione operativa di un costrutto è; una procedura specifica per far emergere o per misurare il costrutto
La correlazione tra variabili è usata come base per le ricerche che si prefiggono come obiettivo la predizione.; Vero
Gli psicologi utilizzano i costrutti come variabili intervenienti nelle loro teorie.; Vero
La ricerca idiografica mira a descrivere le persone nella loro unicità.; Vero
L’elemento essenziale della scienza è l’applicazione.; Falso
Gli psicologi utilizzano ____ per individuare le cause di un fenomeno.; gli esperimenti
Quando i ricercatori riportano i loro risultati descrivono; solo quello che hanno osservato.
Un ricercatore vuole indagare la costruzione dell’identità familiare nel processo adottivo. A tal fine conduce delle interviste in profondità, su un campione di 20 famiglie adottive. Qual è la finalità della ricerca condotta?; Descrittiva
Un gruppo di ricercatori vuole verificare se l’espressione delle emozioni e dei pensieri connessi all’esperienza del parto influenzi il livello di depressione post-partum. A tale proposito somministra a un gruppo di 50 neo mamme, un compito di scrittura espressiva (Pennebaker, 1999) nel quale, a ciascuna neo mamma, è chiesto di raccontare per iscritto la propria esperienza del parto, mentre ad un altro gruppo di neo mamme (N=50) somministra un compito di scrittura creativa con la consegna di scrivere sulle modalità di gestione del tempo e delle attività di vita quotidiana. Qual è la finalità della ricerca condotta?; Esplicativa
L’Unione europea ha commissionato a un gruppo di ricercatori di un’Università italiana, una ricerca per indagare se il consumo di alcolici è maggiore nei giovani (20-30 anni) che vivono nei paesi nordici. A quale finalità risponde questa ricerca?; Predittiva
Quale caratteristica distingue un’ipotesi scientifica da un’ipotesi casuale, quotidiana?; la verificabilità
La ricerca che ha come obiettivo il cambiamento del comportamento delle persone nella vita quotidiana è:; applicata
La validità predittiva e la validità concorrente sono entrambe; validità legate a un criterio
La checklist misura le opinioni delle persone; Falso
Da un punto di vista statistico, quali tra le seguenti operazioni è possibile compiere su una scala nominale?; conteggio delle frequenze dei soggetti in ciascuna classe
Secondo la teoria dell’errore casuale il punteggio osservato indica; La somma del punteggio vero e dell’errore
Il termine operazionalizzazione deriva da; l’operazionismo, teoria che afferma che il significato di un concetto è dato dall’insieme di operazioni e processi mediante i quali esso è applicato alla realtà
La variabile “voto all’esame” può essere trasformata in una variabile nominale con tre categorie?; No, se una variabile è espressa in numeri non può essere modificata
L’attendibilità non può essere stabilita sulla base di indici statistici.; Falso
Un ricercatore vuole indagare i nuovi stili comunicativi tra colleghi di lavoro. Per fare questo, dopo aver ottenuto il consenso informato da ciascun partecipante, analizza le chat che un gruppo di 8 colleghi si scambia nel corso della giornata. Il numero di volte in cui compare un “emoticon” :-) è una variabile; a rapporti equivalenti
Se lo strumento è costruito bene, l’errore sistematico sarà pari a 0.; Vero
Il terzo parametro che caratterizza la domanda/item nella teoria dei tratti latenti e che ci dice la probabilità di risposta corretta quando si risponde a caso alla domanda è detto; GUESSING
I punteggi ottenuti da due questionari che misurano costrutti diversi dovrebbero mostrare una bassa correlazione.; Vero
Quando le variabili sono manifestazioni di un costrutto vengono chiamate; indicatori riflettivi
Chi ha proposto i quattro livelli di misurazione, detti anche scale di misura?; Stevens
Operazionalizzare un costrutto significa individuare gli indicatori osservabili che lo possono misurare.; Vero
In generale, l’attendibilità di un test accresce all’aumentare del numero di item che lo compongono.; Vero
L’attendibilità è; la coerenza tra misurazioni indipendenti dello stesso costrutto
La teoria classica dell’errore è detta anche; teoria classica dei test
La variabile “voto all’esame” può essere trasformata in una variabile nominale con tre categorie?; Si
Nella formula della k di Cohen, al numeratore si sottrae la proporzione di accordo osservato alla popolazione di accordo atteso, mentre al denominatore la proporzione di accordo atteso viene sottratta al valore 1.; Vero
L’errore standard di misurazione viene calcolato facendo la somma della varianza d’errore di misurazione; Falso
Lo standard aritmetico delle operazioni di addizione, moltiplicazione, sottrazione e divisione può essere eseguito su dati misurati almeno su una scala;a intervalli equivalenti
Una variabile a un livello di misura più basso può essere trasformata in una variabile a un livello di misura più alto;MAI
Per valutare la precisione e l’accuratezza di una misura occorre essere in grado di rilevare la distanza tra le frecce che colpiscono un bersaglio;Falso
La validità di facciata non è una validità di costrutto effettiva;Vero
Per errore sistematico di misurazione s’intende; un errore che influenza sistematicamente tutti i dati raccolti
In una staffetta 4X100, il tempo impiegato da ogni squadra è una variabile misurabile attraverso una scala;a rapporti equivalenti
La precisione di una misura si riferisce a;la corrispondenza tra il costrutto e la realtà
La scala a intervalli equivalenti e la scala a rapporti equivalenti sono entrambe quantitative;Vero
Un nuovo questionario sull’autostima mostrava un’alta correlazione con una misura ben consolidata sull’autostima e una bassa correlazione con una misura sulla desiderabilità sociale. Basandosi su questo aspetto possiamo dire che la nuova misura sull’autostima dimostra una buona;ognuna delle risposte precedenti
Un valore di alpha minore di .90 è cosiderato ottimo;Falso
L’errore _______ influenza l’accuratezza della misura; SISTEMATICO
Il livello più basso di misurazione è la scala nominale;Vero
L’errore ______ varia in ogni misura; CASUALE
La validità di contenuto può essere valutata attraverso;la valutazione di giudici indipendenti esperti;
Un’elevata correlazione tra due misure di due costrutti diversi è indice di un’alta validità convergente;Falso
Secondo la teoria dei tratti latenti, la probabilità di rispondere correttamente a una domanda è data dall’abilità della persona e dalle caratteristiche della domanda stessa;Vero
Gli studiosi non sono concordi sulle statistiche da utilizzare per misurare la validità di costrutto;Falso
Abbina ciascuna scala di misura:\n 1. A rapporti equivalenti\n2. Ordinale\n3. Nominale\n4. A intervalli equivalenti\nAd una definizione;A rapporti equivalenti -> Specifica la distanza tra gli stimoli su una data dimensione ed esprime i rapporti dei valori della scala\nOrdinale -> Ordina gli eventi e permette di aggiungere relazioni aritmetiche “maggiore di” e “minore di” al processo di misura\nNominale -> Implica la classificazione di un evento in categorie definite\nA intervalli equivalenti -> Specifica quanto sono lontani due eventi su una data dimensione
Per errore casuale di misurazione s’intende;un errore che è diverso per ogni misurazione
Per effettuare la taratura di un test, esso va somministrato a un campione ad hoc tratto dalla popolazione;Falso
Uno strumento è attendibile se; presenta una elevata coerenza interna ed è stabile nel tempo
Le scale di misura possono essere distinte in; scale nominali, scale ordinali, scale ad intervalli equivalenti e scale a rapporti equivalenti
La matrice multi-tratto multi-metodo non dà indicazioni sulla precisione di uno strumento;Falso
In una staffetta 4X100, la classifica finale delle squadre può essere espressa con una scala;Ordinale
Una K di Cohen maggiore di .70 è considerata accettabile;Vero
L’attendibilità non può essere stabilita sulla base di indici statistici;Falso
In generale, l’attendibilità di un test accresce all’aumentare del numero di item che lo compongono;Vero

Pagina8 ( da correggere ultima parte)
La teoria classica dell’errore è detta anche;teoria classica dei test
Quando le variabili definiscono un costrutto non osservabile vengono chiamate;Indicatori formativi
Cos’è un costrutto psicologico?;Un concetto astratto non osservabile direttamente
Una K di Cohen maggiore di .70 è considerata accettabile;Vero
L’accuratezza si riferisce a;la corrispondenza tra il costrutto e la realtà
Da un punto di vista statistico, quali tra le seguenti operazioni è possibile compiere su una scala nominale?;conteggio delle frequenze dei soggetti in ciascuna classe
Per effettuare la taratura di un test, esso va somministrato a un campione ad hoc tratto dalla popolazione;Falso
Un’elevata correlazione tra due misure di due costrutti diversi è indice di un’alta validità convergente;Falso
Il test- retest si riferisce a;la correlazione tra i punteggi di due somministrazioni di uno stesso strumento misura
Cosa differenzia la scala a rapporti equivalenti dalle altre?;un punto zero significativo
L’errore standard di misurazione è;LA DEVIAZIONE STANDARD
Cosa distingue l’errore sistematico e l’errore casuale?;il modo con cui incidono sulla misurazione
Uno psicologo è interessato ad indagare la capacità di apprendimento in bambini affetti da sindrome di Asperger. A questo scopo sottopone a 45 bambini affetti da tale sindrome un test che consente di classificarne la capacità di apprendimento come insufficiente, sufficiente o più che sufficiente. La variabile “capacità di apprendimento” è;una variabile categoriale ordinata
L’attendibilità test-retest si riferisce alla coerenza in cui tutti gli item di un questionario misurano lo stesso costrutto;Falso
In una staffetta 4X100, il tempo impiegato da ogni squadra è una variabile misurabile attraverso una scala;a rapporti equivalenti
L’errore standard di misurazione viene calcolato facendo la somma della varianza d’errore di misurazione;Falso
Nella formula della k di Cohen, al numeratore si sottrae la proporzione di accordo osservato alla popolazione di accordo atteso, mentre al denominatore la proporzione di accordo atteso viene sottratta al valore 1;Vero
La checklist misura le opinioni delle persone;Falso
Se lo strumento è costruito bene, l’errore sistematico sarà pari a 0;Vero
Un test è attendibile quando misura effettivamente ciò che si propone di misurare;Falso
Ai ricercatori conviene omettere le informazioni dal consenso informato se quell’informazione potrebbe diminuire la disponibilità degli individui a partecipare alla ricerca;Falso
Quando in una ricerca si ricorre all’inganno, il ricercatore ha la responsabilità di;predisporre ed effettuare la fase di debriefing con il partecipante
Dopo che è stato portata a termine una ricerca, il comitato etico valuta l’eticità della ricerca stessa;Falso
In generale, gli individui sono meno a rischio quando partecipano a ricerche via Internet, piuttosto che quando vi partecipano di persona;Falso
Il plagio si verifica quando gli autori non riconoscono il lavoro degli altri e non riportano adeguatamente citazioni e riferimenti;Vero
Quando si riportano i risultati della ricerca, il primo autore del report è sempre il più anziano, o il ricercatore più esperto;Falso
Un principio fondamentale degli standard etici dell’APA relativi alla cura e all’uso degli animali nella ricerca è che la cura degli animali, da parte degli psicologi, deve essere la più;Tutelante possibile
Indica in quali situazioni è obbligatorio il debriefing;SI
